state,year,month,unemployment_rate,UPT,PostCOVID,VRM,StringencyIndex,gdp_per_capita,red,blue
Alabama,2016,1,6.3,427880.0,0,469390.0,,43383.53,1.0,0.0
Alabama,2016,2,6.2,442620.0,0,478792.0,,43375.24,1.0,0.0
Alabama,2016,3,5.9,457598.0,0,518498.0,,43366.95,1.0,0.0
Alabama,2016,4,5.4,452035.0,0,493900.0,,43699.55,1.0,0.0
Alabama,2016,5,5.3,435872.0,0,490068.0,,43691.2,1.0,0.0
Alabama,2016,6,6.1,429489.0,0,493387.0,,43682.86,1.0,0.0
Alabama,2016,7,6.0,390495.0,0,434945.0,,43764.82,1.0,0.0
Alabama,2016,8,5.9,457416.0,0,485795.0,,43756.47,1.0,0.0
Alabama,2016,9,5.9,441390.0,0,461722.0,,43748.11,1.0,0.0
Alabama,2016,10,5.7,453539.0,0,471882.0,,43951.04,1.0,0.0
Alabama,2016,11,5.3,423352.0,0,454150.0,,43942.65,1.0,0.0
Alabama,2016,12,5.4,402241.0,0,471614.0,,43934.27,1.0,0.0
Alabama,2017,1,6.0,384737.0,0,439854.0,,44208.79,,
Alabama,2017,2,5.6,400437.0,0,438700.0,,44198.49,,
Alabama,2017,3,4.9,429889.0,0,503963.0,,44188.2,,
Alabama,2017,4,4.3,368151.0,0,461145.0,,44231.17,,
Alabama,2017,5,4.2,401295.0,0,511324.0,,44220.88,,
Alabama,2017,6,4.8,395993.0,0,499271.0,,44210.59,,
Alabama,2017,7,4.7,373217.0,0,470288.0,,44302.66,,
Alabama,2017,8,4.5,417720.0,0,521161.0,,44292.35,,
Alabama,2017,9,4.0,381242.0,0,474866.0,,44282.05,,
Alabama,2017,10,3.8,486988.0,0,489137.0,,44697.27,,
Alabama,2017,11,3.8,482985.0,0,479301.0,,44686.88,,
Alabama,2017,12,3.7,425693.0,0,453156.0,,44676.49,,
Alabama,2018,1,4.4,414841.0,0,464453.0,,44987.07,,
Alabama,2018,2,4.3,449206.0,0,441064.0,,44974.55,,
Alabama,2018,3,4.0,474511.0,0,498359.0,,44962.04,,
Alabama,2018,4,3.5,443535.0,0,457357.0,,44972.01,,
Alabama,2018,5,3.5,435162.0,0,482164.0,,44959.5,,
Alabama,2018,6,4.5,440015.0,0,479931.0,,44947.01,,
Alabama,2018,7,4.2,384901.0,0,433483.0,,45016.16,,
Alabama,2018,8,4.1,471991.0,0,492736.0,,45003.65,,
Alabama,2018,9,3.7,418604.0,0,455061.0,,44991.15,,
Alabama,2018,10,3.7,502983.0,0,510203.0,,45357.95,,
Alabama,2018,11,3.4,443679.0,0,483107.0,,45345.37,,
Alabama,2018,12,3.6,389224.0,0,480930.0,,45332.78,,
Alabama,2019,1,4.3,439129.0,0,505316.0,,45442.46,,
Alabama,2019,2,3.8,417978.0,0,454923.0,,45346.22,,
Alabama,2019,3,3.5,416487.0,0,476829.0,,45250.39,,
Alabama,2019,4,2.8,447323.0,0,489689.0,,45397.91,,
Alabama,2019,5,2.7,446735.0,0,494462.0,,45302.37,,
Alabama,2019,6,3.4,387524.0,0,465295.0,,45207.23,,
Alabama,2019,7,3.3,440242.0,0,519558.0,,45524.93,,
Alabama,2019,8,3.3,453036.0,0,515590.0,,45429.72,,
Alabama,2019,9,2.8,410361.0,0,490411.0,,45334.92,,
Alabama,2019,10,2.8,459360.0,0,535407.0,,45494.42,,
Alabama,2019,11,2.8,406786.0,0,457510.0,,45399.87,,
Alabama,2019,12,2.9,346376.0,0,423841.0,,45305.71,,
Alabama,2020,1,3.6,338396.0,0,444418.0,0.36,45011.27,1.0,0.0
Alabama,2020,2,3.4,325548.0,0,419238.0,6.8,44998.53,1.0,0.0
Alabama,2020,3,3.7,303527.0,0,434592.0,39.95,44985.8,1.0,0.0
Alabama,2020,4,13.1,171609.0,1,340157.0,78.94,41574.39,1.0,0.0
Alabama,2020,5,10.2,212842.0,1,404371.0,65.65,41562.63,1.0,0.0
Alabama,2020,6,8.9,253281.0,1,417749.0,55.16,41550.88,1.0,0.0
Alabama,2020,7,8.0,260276.0,1,450626.0,50.0,45234.46,1.0,0.0
Alabama,2020,8,6.4,289130.0,1,429427.0,46.33,45221.68,1.0,0.0
Alabama,2020,9,6.0,280950.0,1,420162.0,43.95,45208.91,1.0,0.0
Alabama,2020,10,4.9,297006.0,1,444174.0,43.52,45204.08,1.0,0.0
Alabama,2020,11,4.6,283002.0,1,405379.0,43.52,45191.32,1.0,0.0
Alabama,2020,12,4.3,252402.0,1,435514.0,43.52,45178.56,1.0,0.0
Alabama,2021,1,4.5,194387.0,1,408184.0,43.52,45965.81,,
Alabama,2021,2,4.1,180064.0,1,391477.0,43.52,45945.48,,
Alabama,2021,3,3.7,211479.0,1,427996.0,43.52,45925.17,,
