state,year,month,quarterly_income
Alabama,2015,1,37799.0
Alabama,2015,2,37799.0
Alabama,2015,3,37799.0
Alabama,2015,4,38115.0
Alabama,2015,5,38115.0
Alabama,2015,6,38115.0
Alabama,2015,7,38415.0
Alabama,2015,8,38415.0
Alabama,2015,9,38415.0
Alabama,2015,10,38397.0
Alabama,2015,11,38397.0
Alabama,2015,12,38397.0
Alabama,2016,1,38485.0
Alabama,2016,2,38485.0
Alabama,2016,3,38485.0
Alabama,2016,4,38613.0
Alabama,2016,5,38613.0
Alabama,2016,6,38613.0
Alabama,2016,7,38714.0
Alabama,2016,8,38714.0
Alabama,2016,9,38714.0
Alabama,2016,10,38983.0
Alabama,2016,11,38983.0
Alabama,2016,12,38983.0
Alabama,2017,1,39519.0
Alabama,2017,2,39519.0
Alabama,2017,3,39519.0
Alabama,2017,4,39827.0
Alabama,2017,5,39827.0
Alabama,2017,6,39827.0
Alabama,2017,7,40031.0
Alabama,2017,8,40031.0
Alabama,2017,9,40031.0
Alabama,2017,10,40456.0
Alabama,2017,11,40456.0
Alabama,2017,12,40456.0
Alabama,2018,1,40825.0
Alabama,2018,2,40825.0
Alabama,2018,3,40825.0
Alabama,2018,4,41094.0
Alabama,2018,5,41094.0
Alabama,2018,6,41094.0
Alabama,2018,7,41404.0
Alabama,2018,8,41404.0
Alabama,2018,9,41404.0
Alabama,2018,10,41938.0
Alabama,2018,11,41938.0
Alabama,2018,12,41938.0
Alabama,2019,1,42579.0
Alabama,2019,2,42579.0
Alabama,2019,3,42579.0
Alabama,2019,4,42884.0
Alabama,2019,5,42884.0
Alabama,2019,6,42884.0
Alabama,2019,7,43118.0
Alabama,2019,8,43118.0
Alabama,2019,9,43118.0
Alabama,2019,10,43372.0
Alabama,2019,11,43372.0
Alabama,2019,12,43372.0
Alabama,2020,1,43958.0
Alabama,2020,2,43958.0
Alabama,2020,3,43958.0
Alabama,2020,4,47845.0
Alabama,2020,5,47845.0
Alabama,2020,6,47845.0
Alabama,2020,7,45995.0
Alabama,2020,8,45995.0
Alabama,2020,9,45995.0
Alabama,2020,10,45731.0
Alabama,2020,11,45731.0
Alabama,2020,12,45731.0
Alabama,2021,1,53386.0
Alabama,2021,2,53386.0
Alabama,2021,3,53386.0
Alabama,2021,4,49372.0
Alabama,2021,5,49372.0
Alabama,2021,6,49372.0
Alabama,2021,7,49596.0
Alabama,2021,8,49596.0
Alabama,2021,9,49596.0
Alabama,2021,10,50159.0
Alabama,2021,11,50159.0
Alabama,2021,12,50159.0
Alabama,2022,1,50580.0
Alabama,2022,2,50580.0
Alabama,2022,3,50580.0
Alabama,2022,4,51117.0
Alabama,2022,5,51117.0
Alabama,2022,6,51117.0
Alabama,2022,7,52094.0
Alabama,2022,8,52094.0
Alabama,2022,9,52094.0
Alabama,2022,10,52923.0
Alabama,2022,11,52923.0
Alabama,2022,12,52923.0
Alabama,2023,1,53754.0
Alabama,2023,2,53754.0
Alabama,2023,3,53754.0
Alabama,2023,4,54315.0
Alabama,2023,5,54315.0
Alabama,2023,6,54315.0
Alabama,2023,7,54847.0
Alabama,2023,8,54847.0
Alabama,2023,9,54847.0
Alabama,2023,10,55518.0
Alabama,2023,11,55518.0
Alabama,2023,12,55518.0
Alabama,2024,1,56317.0
Alabama,2024,2,56317.0
Alabama,2024,3,56317.0
Alabama,2024,4,57105.0
Alabama,2024,5,57105.0
Alabama,2024,6,57105.0
Alabama,2024,7,57648.0
Alabama,2024,8,57648.0
Alabama,2024,9,57648.0
Alabama,2024,10,58203.0
Alabama,2024,11,58203.0
Alabama,2024,12,58203.0
Alabama,2025,1,59242.0
Alabama,2025,2,59242.0
Alabama,2025,3,59242.0
Alabama,2025,4,59861.0
Alabama,2025,5,59861.0
Alabama,2025,6,59861.0
Alabama,2025,7,60265.0
Alabama,2025,8,60265.0
Alabama,2025,9,60265.0
Alaska,2015,1,56615.0
Alaska,2015,2,56615.0
Alaska,2015,3,56615.0
Alaska,2015,4,56770.0
Alaska,2015,5,56770.0
Alaska,2015,6,56770.0
Alaska,2015,7,56699.0
Alaska,2015,8,56699.0
Alaska,2015,9,56699.0
Alaska,2015,10,56642.0
Alaska,2015,11,56642.0
Alaska,2015,12,56642.0
Alaska,2016,1,55434.0
Alaska,2016,2,55434.0
Alaska,2016,3,55434.0
Alaska,2016,4,55408.0
Alaska,2016,5,55408.0
Alaska,2016,6,55408.0
Alaska,2016,7,55570.0
Alaska,2016,8,55570.0
Alaska,2016,9,55570.0
Alaska,2016,10,55928.0
Alaska,2016,11,55928.0
Alaska,2016,12,55928.0
Alaska,2017,1,55856.0
Alaska,2017,2,55856.0
Alaska,2017,3,55856.0
Alaska,2017,4,56091.0
Alaska,2017,5,56091.0
Alaska,2017,6,56091.0
Alaska,2017,7,56794.0
Alaska,2017,8,56794.0
Alaska,2017,9,56794.0
Alaska,2017,10,57341.0
Alaska,2017,11,57341.0
Alaska,2017,12,57341.0
Alaska,2018,1,58076.0
Alaska,2018,2,58076.0
Alaska,2018,3,58076.0
Alaska,2018,4,58490.0
Alaska,2018,5,58490.0
Alaska,2018,6,58490.0
Alaska,2018,7,59483.0
Alaska,2018,8,59483.0
Alaska,2018,9,59483.0
Alaska,2018,10,59869.0
Alaska,2018,11,59869.0
Alaska,2018,12,59869.0
Alaska,2019,1,60094.0
Alaska,2019,2,60094.0
Alaska,2019,3,60094.0
Alaska,2019,4,60354.0
Alaska,2019,5,60354.0
Alaska,2019,6,60354.0
Alaska,2019,7,60680.0
Alaska,2019,8,60680.0
Alaska,2019,9,60680.0
Alaska,2019,10,60820.0
Alaska,2019,11,60820.0
Alaska,2019,12,60820.0
Alaska,2020,1,60136.0
Alaska,2020,2,60136.0
Alaska,2020,3,60136.0
Alaska,2020,4,64448.0
Alaska,2020,5,64448.0
Alaska,2020,6,64448.0
Alaska,2020,7,61341.0
Alaska,2020,8,61341.0
Alaska,2020,9,61341.0
Alaska,2020,10,61539.0
Alaska,2020,11,61539.0
Alaska,2020,12,61539.0
Alaska,2021,1,68273.0
Alaska,2021,2,68273.0
Alaska,2021,3,68273.0
Alaska,2021,4,64753.0
Alaska,2021,5,64753.0
Alaska,2021,6,64753.0
Alaska,2021,7,64711.0
Alaska,2021,8,64711.0
Alaska,2021,9,64711.0
Alaska,2021,10,65559.0
Alaska,2021,11,65559.0
Alaska,2021,12,65559.0
Alaska,2022,1,67608.0
Alaska,2022,2,67608.0
Alaska,2022,3,67608.0
Alaska,2022,4,68789.0
Alaska,2022,5,68789.0
Alaska,2022,6,68789.0
Alaska,2022,7,69609.0
Alaska,2022,8,69609.0
Alaska,2022,9,69609.0
Alaska,2022,10,70543.0
Alaska,2022,11,70543.0
Alaska,2022,12,70543.0
Alaska,2023,1,70436.0
Alaska,2023,2,70436.0
Alaska,2023,3,70436.0
Alaska,2023,4,72035.0
Alaska,2023,5,72035.0
Alaska,2023,6,72035.0
Alaska,2023,7,73159.0
Alaska,2023,8,73159.0
Alaska,2023,9,73159.0
Alaska,2023,10,73873.0
Alaska,2023,11,73873.0
Alaska,2023,12,73873.0
Alaska,2024,1,75020.0
Alaska,2024,2,75020.0
Alaska,2024,3,75020.0
Alaska,2024,4,75877.0
Alaska,2024,5,75877.0
Alaska,2024,6,75877.0
Alaska,2024,7,76666.0
Alaska,2024,8,76666.0
Alaska,2024,9,76666.0
Alaska,2024,10,77460.0
Alaska,2024,11,77460.0
Alaska,2024,12,77460.0
Alaska,2025,1,78627.0
Alaska,2025,2,78627.0
Alaska,2025,3,78627.0
Alaska,2025,4,79521.0
Alaska,2025,5,79521.0
Alaska,2025,6,79521.0
Alaska,2025,7,79850.0
Alaska,2025,8,79850.0
Alaska,2025,9,79850.0
Arizona,2015,1,39480.0
Arizona,2015,2,39480.0
Arizona,2015,3,39480.0
Arizona,2015,4,39848.0
Arizona,2015,5,39848.0
Arizona,2015,6,39848.0
Arizona,2015,7,39884.0
Arizona,2015,8,39884.0
Arizona,2015,9,39884.0
Arizona,2015,10,40269.0
Arizona,2015,11,40269.0
Arizona,2015,12,40269.0
Arizona,2016,1,40598.0
Arizona,2016,2,40598.0
Arizona,2016,3,40598.0
Arizona,2016,4,41011.0
Arizona,2016,5,41011.0
Arizona,2016,6,41011.0
Arizona,2016,7,41424.0
Arizona,2016,8,41424.0
Arizona,2016,9,41424.0
Arizona,2016,10,41646.0
Arizona,2016,11,41646.0
Arizona,2016,12,41646.0
Arizona,2017,1,42500.0
Arizona,2017,2,42500.0
Arizona,2017,3,42500.0
Arizona,2017,4,42930.0
Arizona,2017,5,42930.0
Arizona,2017,6,42930.0
Arizona,2017,7,43572.0
Arizona,2017,8,43572.0
Arizona,2017,9,43572.0
Arizona,2017,10,43934.0
Arizona,2017,11,43934.0
Arizona,2017,12,43934.0
Arizona,2018,1,44628.0
Arizona,2018,2,44628.0
Arizona,2018,3,44628.0
Arizona,2018,4,44961.0
Arizona,2018,5,44961.0
Arizona,2018,6,44961.0
Arizona,2018,7,45539.0
Arizona,2018,8,45539.0
Arizona,2018,9,45539.0
Arizona,2018,10,45981.0
Arizona,2018,11,45981.0
Arizona,2018,12,45981.0
Arizona,2019,1,47035.0
Arizona,2019,2,47035.0
Arizona,2019,3,47035.0
Arizona,2019,4,47498.0
Arizona,2019,5,47498.0
Arizona,2019,6,47498.0
Arizona,2019,7,47930.0
Arizona,2019,8,47930.0
Arizona,2019,9,47930.0
Arizona,2019,10,48336.0
Arizona,2019,11,48336.0
Arizona,2019,12,48336.0
Arizona,2020,1,48964.0
Arizona,2020,2,48964.0
Arizona,2020,3,48964.0
Arizona,2020,4,54149.0
Arizona,2020,5,54149.0
Arizona,2020,6,54149.0
Arizona,2020,7,53178.0
Arizona,2020,8,53178.0
Arizona,2020,9,53178.0
Arizona,2020,10,52107.0
Arizona,2020,11,52107.0
Arizona,2020,12,52107.0
Arizona,2021,1,59294.0
Arizona,2021,2,59294.0
Arizona,2021,3,59294.0
Arizona,2021,4,55823.0
Arizona,2021,5,55823.0
Arizona,2021,6,55823.0
Arizona,2021,7,56367.0
Arizona,2021,8,56367.0
Arizona,2021,9,56367.0
Arizona,2021,10,57167.0
Arizona,2021,11,57167.0
Arizona,2021,12,57167.0
Arizona,2022,1,57789.0
Arizona,2022,2,57789.0
Arizona,2022,3,57789.0
Arizona,2022,4,58519.0
Arizona,2022,5,58519.0
Arizona,2022,6,58519.0
Arizona,2022,7,59583.0
Arizona,2022,8,59583.0
Arizona,2022,9,59583.0
Arizona,2022,10,60359.0
Arizona,2022,11,60359.0
Arizona,2022,12,60359.0
Arizona,2023,1,62073.0
Arizona,2023,2,62073.0
Arizona,2023,3,62073.0
Arizona,2023,4,63016.0
Arizona,2023,5,63016.0
Arizona,2023,6,63016.0
