GeoFIPS,GeoName,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3
01000,Alabama,37799,38115,38415,38397,38485,38613,38714,38983,39519,39827,40031,40456,40825,41094,41404,41938,42579,42884,43118,43372,43958,47845,45995,45731,53386,49372,49596,50159,50580,51117,52094,52923,53754,54315,54847,55518,56317,57105,57648,58203,59242,59861,60265
02000,Alaska,56615,56770,56699,56642,55434,55408,55570,55928,55856,56091,56794,57341,58076,58490,59483,59869,60094,60354,60680,60820,60136,64448,61341,61539,68273,64753,64711,65559,67608,68789,69609,70543,70436,72035,73159,73873,75020,75877,76666,77460,78627,79521,79850
04000,Arizona,39480,39848,39884,40269,40598,41011,41424,41646,42500,42930,43572,43934,44628,44961,45539,45981,47035,47498,47930,48336,48964,54149,53178,52107,59294,55823,56367,57167,57789,58519,59583,60359,62073,63016,63360,63581,65077,65602,65878,66732,67046,67766,68116
05000,Arkansas,38777,39068,39471,39722,39817,40075,40228,40580,41059,41182,41383,41990,42434,42762,43230,43670,43223,43473,43940,44263,44756,49359,47129,47240,55468,52557,52663,52670,52790,53031,54038,54966,56243,56439,56564,56953,58221,58786,59777,60512,61918,62074,62494
06000,California,52906,53680,54124,54562,55214,55473,56109,56653,57201,57836,58497,59342,59735,60612,61457,62167,63291,63964,64328,65254,66377,70462,72346,71436,79153,75974,76591,76447,76163,76333,77436,78786,79483,80986,81668,82427,84580,85676,86589,88247,89520,89630,90416
08000,Colorado,51282,51554,51406,51393,50857,50964,51438,52031,52994,53762,54413,55465,56452,57262,58297,59236,60763,60992,61643,61711,63064,65956,64808,65078,72827,70228,71510,73103,74903,75528,78573,77644,79005,79858,80428,81322,81896,82931,83338,84159,85482,86222,86559
09000,Connecticut,65553,66018,66329,66960,67327,67493,67551,67754,68111,68829,69307,70260,71081,71679,72868,73045,73957,74045,73961,74641,73882,77788,77323,77107,83582,81202,81510,82510,83608,84226,86232,87411,88646,89957,90607,91604,93905,94749,95454,96347,97675,98490,98962
10000,Delaware,46764,47379,47224,47573,47474,48000,48385,48846,49408,49555,50278,50673,51725,52313,53075,53504,53520,53795,53917,53801,54196,57246,55632,54841,63109,58412,58340,59580,62217,63593,64852,65568,64080,64333,64744,65183,66897,67842,68443,69123,70420,71069,71359
12000,Florida,44489,44900,45068,45277,45186,45430,45928,46389,47397,48243,48775,49399,50086,50560,51364,52049,53095,53504,53735,54246,54881,58199,56786,56459,64570,61260,61575,62639,63178,64698,66344,67475,69032,69857,70248,71124,72249,72744,73304,73963,74919,75327,75646
13000,Georgia,41013,41420,41730,41893,42463,42467,42769,43278,44175,44569,44925,45659,45853,46325,47017,47261,48149,48455,48645,48881,49209,53558,52089,51159,58869,55046,55220,55724,56085,57127,57880,58500,58851,59792,60307,61092,62160,62742,63203,63981,64936,65671,66073
15000,Hawaii,46584,47048,47303,47664,48087,48434,48736,49110,50094,50336,50690,50859,51061,51439,51685,52079,53335,53654,54101,54616,55063,59746,56734,56358,64040,60424,60637,59998,61388,62115,63428,65627,65892,67047,67423,68602,69693,70862,71561,72079,73929,74385,74830
16000,Idaho,38555,38651,38984,38909,39294,39588,39822,39832,40465,41053,41363,41914,42652,43005,43330,43942,45204,45697,46117,46440,47492,50957,49548,50659,57994,54188,54590,55911,55965,56626,57509,58210,58713,58738,59310,59967,60964,62069,62717,63569,63952,64810,65041
17000,Illinois,50049,50534,50993,51171,51098,51133,51285,51850,52160,52737,53332,53989,55132,55880,56370,56903,57184,57427,57979,58328,58923,63139,62307,61978,69204,65807,66077,66333,66621,67280,68517,69498,70397,71513,72072,72905,73748,74318,74657,75499,76399,77587,78047
18000,Indiana,41733,42090,42204,42501,42660,42965,43310,43622,43977,44375,44674,45180,46049,46288,46688,47188,47809,48086,48440,48727,49543,53126,52018,52368,59886,56043,56446,57131,57880,58182,58763,59832,60509,61171,61609,62203,63443,64152,64098,64669,65983,66447,66952
19000,Iowa,45186,45210,45629,45729,45536,45514,45826,45778,46503,46642,46622,47306,47973,48452,48803,49815,49297,49129,50030,50237,50107,54964,52406,53175,60446,57966,57521,57116,59704,60755,62062,62208,62229,62393,62870,63171,64310,64964,65495,66203,67624,68028,68585
20000,Kansas,46628,46661,46642,46483,46226,46559,46934,47160,47750,48030,48291,48955,49399,50005,50547,51172,51616,51850,52388,52709,52964,56983,55207,55766,60898,58585,58704,58677,60965,61097,62336,62943,62502,63267,63942,64266,64842,65819,66045,66793,67690,69502,70506
21000,Kentucky,38232,38731,38914,39174,38974,39155,39528,39584,40075,40204,40469,40874,41189,41590,41755,42085,43045,43310,43552,43938,44458,49846,47101,46974,54600,50615,51104,51380,51825,52406,52789,53389,54681,55465,56081,56393,57648,58120,58399,58932,59647,60528,61097
22000,Louisiana,42559,42442,42512,42430,41787,41979,42178,42660,43075,43248,43661,43944,44716,45343,45695,46069,46729,46889,47059,47374,47549,53131,51101,48943,57254,54133,54745,54411,54174,55074,55750,56371,58040,58589,59168,60073,61198,61859,62147,62435,63469,64467,64500
23000,Maine,42097,42749,43168,43631,43789,44162,44268,44689,45275,45564,46159,46576,47115,47551,47977,48226,49424,49763,50102,50615,51402,57139,54057,54545,62041,58227,58446,58905,60234,61172,62428,62710,64956,64866,65674,66354,68024,68494,69154,70090,70895,72109,72371
24000,Maryland,54570,54891,55181,55491,55864,56348,56778,57384,57489,57990,58414,59078,59189,59690,60246,60503,61227,61714,61753,62159,62179,66537,65816,64872,72138,67962,68125,68646,69292,70126,71410,72226,73902,75079,76093,76667,78389,78922,79519,80337,80922,81547,82043
25000,Massachusetts,60560,61403,61734,62425,62578,63131,63970,64160,64915,65673,66537,67178,68245,68799,69520,70234,72195,72334,72320,72658,73328,79576,77983,78443,85964,83487,83507,83320,83538,84070,85292,88731,88287,89701,90298,91312,92797,93583,93966,94347,95795,96798,96960
26000,Michigan,42293,42823,43203,43547,43738,43964,44108,44478,44896,45090,45271,45797,46671,46917,47266,47508,48091,48492,48655,49057,49440,56058,53463,52319,60101,56368,55895,55891,57116,57563,58383,58925,60254,60958,61571,61950,62832,63697,63787,64526,65254,66211,66862
27000,Minnesota,51053,51168,51442,51679,51541,51604,52234,52511,53508,53576,53691,54520,55151,55881,56507,57276,57462,57637,58162,58371,58699,63777,61363,61675,69674,67167,66786,67130,68010,69001,70282,70700,71513,72439,72987,73681,74640,75222,75895,76731,77763,78461,79182
28000,Mississippi,34717,35077,35264,35307,35473,35519,35617,35923,36340,36386,36674,36944,37071,37479,37705,38202,38785,38895,39297,39598,40019,45291,42588,41935,50140,45901,46015,46064,46271,46392,47332,47890,48879,49514,49724,50524,51151,51898,52359,52868,54293,54744,55188
29000,Missouri,42235,42526,42857,43067,43572,43664,43856,44176,44313,44543,44840,45420,45796,46639,46877,47388,47760,48076,48658,49173,49964,54374,52099,52310,59495,56065,55863,56264,57121,57871,59084,59932,61216,62274,62764,63427,64292,64738,65092,65598,66548,67678,68061
30000,Montana,42950,43102,43305,42958,42842,42941,43350,44020,44746,45414,45531,45834,46504,46993,47311,47987,49011,49277,49968,50258,50355,56149,53465,54086,61573,58332,58191,58958,61151,61672,62491,63205,65193,65974,66403,67229,68113,68929,69412,70490,71383,72786,73187
31000,Nebraska,49353,49735,50003,49683,48836,48611,48604,48727,48686,49358,49629,50453,50476,50864,51439,52957,52754,52860,53933,54481,54212,58669,56557,58257,64771,63440,63483,62851,64900,65419,67153,67854,71010,71440,71670,71894,71994,72699,72783,73422,74457,75797,76729
32000,Nevada,43281,43799,43849,44218,44042,44361,45494,44912,46325,46823,47379,47345,48716,48879,49382,50122,51421,51834,51992,52552,53029,56899,54434,54475,63073,60117,60465,60516,61263,62197,63123,64205,65123,66376,67138,67960,69112,69560,69903,70780,71758,72434,72565
33000,New Hampshire,53036,53999,54257,55263,55005,55536,56063,56065,57039,57356,58433,58695,59798,60014,60633,60847,63832,63840,63942,64115,65445,68575,67787,68330,74505,73004,73635,74805,73648,74781,75932,77060,77658,78972,79584,80801,82117,82975,83482,84241,86146,86333,87082
34000,New Jersey,57900,58318,58649,58723,59374,59463,59856,60333,60740,61399,61981,62683,63255,63788,64598,65121,67192,67457,67552,67822,68202,71172,71021,71209,78599,75152,75517,75863,75991,76745,77958,78822,80095,81149,82164,82729,83968,84790,85204,85852,87063,87749,88223
35000,New Mexico,37466,37771,37751,37964,38142,38530,38572,38635,38898,38996,39253,39594,40314,40730,41233,41543,42569,43001,43487,43771,44606,48807,46926,45931,53863,49675,49765,50140,51382,52629,54392,53912,54726,55381,55430,56231,57314,58082,58488,59154,60115,61344,62069
36000,New York,55768,56572,57070,57015,57900,58022,58372,59298,60867,61719,62418,63783,63330,63986,64654,64953,65768,66492,66595,66981,67150,72260,71942,70198,78842,75294,75348,75745,75863,76555,77749,79334,79986,81678,82735,83100,84396,85371,86023,86638,88061,88476,89340
37000,North Carolina,41223,41478,41792,41957,42312,42341,42621,43102,43630,44006,44347,44858,45226,45771,46250,46928,47831,48226,48488,48915,49742,53585,51867,51878,59430,55830,56436,57171,58306,58461,59305,60222,61381,61786,62478,63274,64472,65252,66170,66705,67738,68267,68695
38000,North Dakota,54431,53049,52490,52475,51115,51046,51554,51458,51439,51971,51650,52150,53653,54635,55521,56844,56402,55931,57115,57212,58149,62708,60012,61050,67084,66307,65951,65112,68959,70796,72094,71971,71539,71649,71524,71478,71567,71736,71519,72305,74598,75284,75771
