state,year,month,GDP_billions
Alabama,2015,1,206.95
Alabama,2015,2,206.95
Alabama,2015,3,206.95
Alabama,2015,4,208.96
Alabama,2015,5,208.96
Alabama,2015,6,208.96
Alabama,2015,7,210.1
Alabama,2015,8,210.1
Alabama,2015,9,210.1
Alabama,2015,10,209.8
Alabama,2015,11,209.8
Alabama,2015,12,209.8
Alabama,2016,1,211.14
Alabama,2016,2,211.14
Alabama,2016,3,211.14
Alabama,2016,4,212.8
Alabama,2016,5,212.8
Alabama,2016,6,212.8
Alabama,2016,7,213.24
Alabama,2016,8,213.24
Alabama,2016,9,213.24
Alabama,2016,10,214.27
Alabama,2016,11,214.27
Alabama,2016,12,214.27
Alabama,2017,1,215.65
Alabama,2017,2,215.65
Alabama,2017,3,215.65
Alabama,2017,4,215.91
Alabama,2017,5,215.91
Alabama,2017,6,215.91
Alabama,2017,7,216.41
Alabama,2017,8,216.41
Alabama,2017,9,216.41
Alabama,2017,10,218.49
Alabama,2017,11,218.49
Alabama,2017,12,218.49
Alabama,2018,1,220.06
Alabama,2018,2,220.06
Alabama,2018,3,220.06
Alabama,2018,4,220.17
Alabama,2018,5,220.17
Alabama,2018,6,220.17
Alabama,2018,7,220.57
Alabama,2018,8,220.57
Alabama,2018,9,220.57
Alabama,2018,10,222.43
Alabama,2018,11,222.43
Alabama,2018,12,222.43
Alabama,2019,1,223.03
Alabama,2019,2,223.03
Alabama,2019,3,223.03
Alabama,2019,4,224.23
Alabama,2019,5,224.23
Alabama,2019,6,224.23
Alabama,2019,7,226.28
Alabama,2019,8,226.28
Alabama,2019,9,226.28
Alabama,2019,10,227.55
Alabama,2019,11,227.55
Alabama,2019,12,227.55
Alabama,2020,1,226.54
Alabama,2020,2,226.54
Alabama,2020,3,226.54
Alabama,2020,4,209.42
Alabama,2020,5,209.42
Alabama,2020,6,209.42
Alabama,2020,7,228.05
Alabama,2020,8,228.05
Alabama,2020,9,228.05
Alabama,2020,10,228.09
Alabama,2020,11,228.09
Alabama,2020,12,228.09
Alabama,2021,1,232.13
Alabama,2021,2,232.13
Alabama,2021,3,232.13
Alabama,2021,4,233.48
Alabama,2021,5,233.48
Alabama,2021,6,233.48
Alabama,2021,7,233.43
Alabama,2021,8,233.43
Alabama,2021,9,233.43
Alabama,2021,10,236.77
Alabama,2021,11,236.77
Alabama,2021,12,236.77
Alabama,2022,1,236.95
Alabama,2022,2,236.95
Alabama,2022,3,236.95
Alabama,2022,4,238.02
Alabama,2022,5,238.02
Alabama,2022,6,238.02
Alabama,2022,7,240.73
Alabama,2022,8,240.73
Alabama,2022,9,240.73
Alabama,2022,10,243.68
Alabama,2022,11,243.68
Alabama,2022,12,243.68
Alabama,2023,1,245.65
Alabama,2023,2,245.65
Alabama,2023,3,245.65
Alabama,2023,4,246.56
Alabama,2023,5,246.56
Alabama,2023,6,246.56
Alabama,2023,7,248.84
Alabama,2023,8,248.84
Alabama,2023,9,248.84
Alabama,2023,10,252.2
Alabama,2023,11,252.2
Alabama,2023,12,252.2
Alabama,2024,1,251.13
Alabama,2024,2,251.13
Alabama,2024,3,251.13
Alabama,2024,4,254.62
Alabama,2024,5,254.62
Alabama,2024,6,254.62
Alabama,2024,7,257.76
Alabama,2024,8,257.76
Alabama,2024,9,257.76
Alabama,2024,10,259.01
Alabama,2024,11,259.01
Alabama,2024,12,259.01
Alaska,2015,1,54.06
Alaska,2015,2,54.06
Alaska,2015,3,54.06
Alaska,2015,4,53.54
Alaska,2015,5,53.54
Alaska,2015,6,53.54
Alaska,2015,7,53.51
Alaska,2015,8,53.51
Alaska,2015,9,53.51
Alaska,2015,10,53.61
Alaska,2015,11,53.61
Alaska,2015,12,53.61
Alaska,2016,1,54.06
Alaska,2016,2,54.06
Alaska,2016,3,54.06
Alaska,2016,4,53.43
Alaska,2016,5,53.43
Alaska,2016,6,53.43
Alaska,2016,7,53.17
Alaska,2016,8,53.17
Alaska,2016,9,53.17
Alaska,2016,10,53.19
Alaska,2016,11,53.19
Alaska,2016,12,53.19
Alaska,2017,1,53.41
Alaska,2017,2,53.41
Alaska,2017,3,53.41
Alaska,2017,4,53.44
Alaska,2017,5,53.44
Alaska,2017,6,53.44
Alaska,2017,7,54.0
Alaska,2017,8,54.0
Alaska,2017,9,54.0
Alaska,2017,10,53.36
Alaska,2017,11,53.36
Alaska,2017,12,53.36
Alaska,2018,1,52.89
Alaska,2018,2,52.89
Alaska,2018,3,52.89
Alaska,2018,4,52.44
Alaska,2018,5,52.44
Alaska,2018,6,52.44
Alaska,2018,7,52.38
Alaska,2018,8,52.38
Alaska,2018,9,52.38
Alaska,2018,10,52.21
Alaska,2018,11,52.21
Alaska,2018,12,52.21
Alaska,2019,1,51.85
Alaska,2019,2,51.85
Alaska,2019,3,51.85
Alaska,2019,4,51.86
Alaska,2019,5,51.86
Alaska,2019,6,51.86
Alaska,2019,7,52.98
Alaska,2019,8,52.98
Alaska,2019,9,52.98
Alaska,2019,10,52.82
Alaska,2019,11,52.82
Alaska,2019,12,52.82
Alaska,2020,1,52.68
Alaska,2020,2,52.68
Alaska,2020,3,52.68
Alaska,2020,4,48.84
Alaska,2020,5,48.84
Alaska,2020,6,48.84
Alaska,2020,7,50.35
Alaska,2020,8,50.35
Alaska,2020,9,50.35
Alaska,2020,10,51.73
Alaska,2020,11,51.73
Alaska,2020,12,51.73
Alaska,2021,1,51.81
Alaska,2021,2,51.81
Alaska,2021,3,51.81
Alaska,2021,4,51.47
Alaska,2021,5,51.47
Alaska,2021,6,51.47
Alaska,2021,7,51.63
Alaska,2021,8,51.63
Alaska,2021,9,51.63
Alaska,2021,10,52.15
Alaska,2021,11,52.15
Alaska,2021,12,52.15
Alaska,2022,1,49.97
Alaska,2022,2,49.97
Alaska,2022,3,49.97
Alaska,2022,4,50.26
Alaska,2022,5,50.26
Alaska,2022,6,50.26
Alaska,2022,7,50.36
Alaska,2022,8,50.36
Alaska,2022,9,50.36
Alaska,2022,10,51.44
Alaska,2022,11,51.44
Alaska,2022,12,51.44
Alaska,2023,1,52.44
Alaska,2023,2,52.44
Alaska,2023,3,52.44
Alaska,2023,4,53.96
Alaska,2023,5,53.96
Alaska,2023,6,53.96
Alaska,2023,7,54.98
Alaska,2023,8,54.98
Alaska,2023,9,54.98
Alaska,2023,10,55.35
Alaska,2023,11,55.35
Alaska,2023,12,55.35
Alaska,2024,1,54.86
Alaska,2024,2,54.86
Alaska,2024,3,54.86
Alaska,2024,4,55.74
Alaska,2024,5,55.74
Alaska,2024,6,55.74
Alaska,2024,7,56.43
Alaska,2024,8,56.43
Alaska,2024,9,56.43
Alaska,2024,10,56.76
Alaska,2024,11,56.76
Alaska,2024,12,56.76
Arizona,2015,1,307.06
Arizona,2015,2,307.06
Arizona,2015,3,307.06
Arizona,2015,4,308.5
Arizona,2015,5,308.5
Arizona,2015,6,308.5
Arizona,2015,7,307.66
Arizona,2015,8,307.66
Arizona,2015,9,307.66
Arizona,2015,10,311.11
Arizona,2015,11,311.11
Arizona,2015,12,311.11
Arizona,2016,1,313.56
Arizona,2016,2,313.56
Arizona,2016,3,313.56
Arizona,2016,4,317.53
Arizona,2016,5,317.53
Arizona,2016,6,317.53
Arizona,2016,7,321.79
Arizona,2016,8,321.79
Arizona,2016,9,321.79
Arizona,2016,10,323.16
Arizona,2016,11,323.16
Arizona,2016,12,323.16
Arizona,2017,1,328.17
Arizona,2017,2,328.17
Arizona,2017,3,328.17
Arizona,2017,4,330.13
Arizona,2017,5,330.13
Arizona,2017,6,330.13
Arizona,2017,7,335.74
Arizona,2017,8,335.74
Arizona,2017,9,335.74
Arizona,2017,10,338.36
Arizona,2017,11,338.36
Arizona,2017,12,338.36
Arizona,2018,1,343.72
Arizona,2018,2,343.72
Arizona,2018,3,343.72
Arizona,2018,4,344.71
Arizona,2018,5,344.71
Arizona,2018,6,344.71
Arizona,2018,7,347.78
Arizona,2018,8,347.78
Arizona,2018,9,347.78
Arizona,2018,10,349.39
Arizona,2018,11,349.39
Arizona,2018,12,349.39
Arizona,2019,1,351.66
Arizona,2019,2,351.66
Arizona,2019,3,351.66
Arizona,2019,4,356.26
Arizona,2019,5,356.26
Arizona,2019,6,356.26
Arizona,2019,7,362.97
Arizona,2019,8,362.97
Arizona,2019,9,362.97
Arizona,2019,10,367.42
Arizona,2019,11,367.42
Arizona,2019,12,367.42
Arizona,2020,1,365.41
Arizona,2020,2,365.41
Arizona,2020,3,365.41
Arizona,2020,4,347.35
Arizona,2020,5,347.35
Arizona,2020,6,347.35
Arizona,2020,7,372.53
Arizona,2020,8,372.53
Arizona,2020,9,372.53
Arizona,2020,10,381.07
Arizona,2020,11,381.07
Arizona,2020,12,381.07
Arizona,2021,1,384.53
Arizona,2021,2,384.53
Arizona,2021,3,384.53
Arizona,2021,4,392.18
Arizona,2021,5,392.18
Arizona,2021,6,392.18
Arizona,2021,7,399.89
Arizona,2021,8,399.89
Arizona,2021,9,399.89
Arizona,2021,10,409.23
Arizona,2021,11,409.23
Arizona,2021,12,409.23
Arizona,2022,1,408.57
Arizona,2022,2,408.57
Arizona,2022,3,408.57
Arizona,2022,4,412.15
Arizona,2022,5,412.15
Arizona,2022,6,412.15
Arizona,2022,7,415.77
Arizona,2022,8,415.77
Arizona,2022,9,415.77
Arizona,2022,10,418.7
Arizona,2022,11,418.7
Arizona,2022,12,418.7
Arizona,2023,1,422.68
Arizona,2023,2,422.68
Arizona,2023,3,422.68
Arizona,2023,4,425.51
Arizona,2023,5,425.51
Arizona,2023,6,425.51
Arizona,2023,7,430.12
Arizona,2023,8,430.12
Arizona,2023,9,430.12
Arizona,2023,10,432.27
Arizona,2023,11,432.27
Arizona,2023,12,432.27
Arizona,2024,1,439.72
Arizona,2024,2,439.72
Arizona,2024,3,439.72
Arizona,2024,4,444.55
Arizona,2024,5,444.55
Arizona,2024,6,444.55
Arizona,2024,7,449.41
Arizona,2024,8,449.41
Arizona,2024,9,449.41
Arizona,2024,10,454.19
Arizona,2024,11,454.19
Arizona,2024,12,454.19
Arkansas,2015,1,120.87
Arkansas,2015,2,120.87
Arkansas,2015,3,120.87
Arkansas,2015,4,121.2
Arkansas,2015,5,121.2
Arkansas,2015,6,121.2
Arkansas,2015,7,121.99
Arkansas,2015,8,121.99
Arkansas,2015,9,121.99
Arkansas,2015,10,122.07
Arkansas,2015,11,122.07
Arkansas,2015,12,122.07
Arkansas,2016,1,122.54
Arkansas,2016,2,122.54
Arkansas,2016,3,122.54
Arkansas,2016,4,122.69
Arkansas,2016,5,122.69
Arkansas,2016,6,122.69
Arkansas,2016,7,122.81
Arkansas,2016,8,122.81
Arkansas,2016,9,122.81
Arkansas,2016,10,124.1
Arkansas,2016,11,124.1
Arkansas,2016,12,124.1
Arkansas,2017,1,123.34
Arkansas,2017,2,123.34
Arkansas,2017,3,123.34
Arkansas,2017,4,123.44
Arkansas,2017,5,123.44
Arkansas,2017,6,123.44
Arkansas,2017,7,123.63
Arkansas,2017,8,123.63
Arkansas,2017,9,123.63
Arkansas,2017,10,125.13
Arkansas,2017,11,125.13
Arkansas,2017,12,125.13
Arkansas,2018,1,126.16
Arkansas,2018,2,126.16
Arkansas,2018,3,126.16
Arkansas,2018,4,126.07
Arkansas,2018,5,126.07
Arkansas,2018,6,126.07
Arkansas,2018,7,126.65
Arkansas,2018,8,126.65
Arkansas,2018,9,126.65
Arkansas,2018,10,126.61
Arkansas,2018,11,126.61
Arkansas,2018,12,126.61
Arkansas,2019,1,126.19
Arkansas,2019,2,126.19
Arkansas,2019,3,126.19
Arkansas,2019,4,126.27
Arkansas,2019,5,126.27
Arkansas,2019,6,126.27
Arkansas,2019,7,127.65
Arkansas,2019,8,127.65
Arkansas,2019,9,127.65
Arkansas,2019,10,128.78
Arkansas,2019,11,128.78
Arkansas,2019,12,128.78
Arkansas,2020,1,128.04
Arkansas,2020,2,128.04
Arkansas,2020,3,128.04
Arkansas,2020,4,122.4
Arkansas,2020,5,122.4
Arkansas,2020,6,122.4
Arkansas,2020,7,131.16
Arkansas,2020,8,131.16
Arkansas,2020,9,131.16
Arkansas,2020,10,131.98
Arkansas,2020,11,131.98
Arkansas,2020,12,131.98
Arkansas,2021,1,135.01
Arkansas,2021,2,135.01
Arkansas,2021,3,135.01
Arkansas,2021,4,138.52
Arkansas,2021,5,138.52
Arkansas,2021,6,138.52
Arkansas,2021,7,137.84
Arkansas,2021,8,137.84
Arkansas,2021,9,137.84
Arkansas,2021,10,139.17
Arkansas,2021,11,139.17
Arkansas,2021,12,139.17
Arkansas,2022,1,138.1
Arkansas,2022,2,138.1
Arkansas,2022,3,138.1
Arkansas,2022,4,137.53
Arkansas,2022,5,137.53
Arkansas,2022,6,137.53
Arkansas,2022,7,138.78
Arkansas,2022,8,138.78
Arkansas,2022,9,138.78
Arkansas,2022,10,140.28
Arkansas,2022,11,140.28
Arkansas,2022,12,140.28
Arkansas,2023,1,141.69
Arkansas,2023,2,141.69
Arkansas,2023,3,141.69
Arkansas,2023,4,141.18
Arkansas,2023,5,141.18
Arkansas,2023,6,141.18
Arkansas,2023,7,141.72
Arkansas,2023,8,141.72
Arkansas,2023,9,141.72
Arkansas,2023,10,143.29
Arkansas,2023,11,143.29
Arkansas,2023,12,143.29
Arkansas,2024,1,145.3
Arkansas,2024,2,145.3
Arkansas,2024,3,145.3
Arkansas,2024,4,146.48
Arkansas,2024,5,146.48
Arkansas,2024,6,146.48
Arkansas,2024,7,148.25
Arkansas,2024,8,148.25
Arkansas,2024,9,148.25
Arkansas,2024,10,149.53
Arkansas,2024,11,149.53
Arkansas,2024,12,149.53
California,2015,1,2518.4
California,2015,2,2518.4
California,2015,3,2518.4
California,2015,4,2550.18
California,2015,5,2550.18
California,2015,6,2550.18
California,2015,7,2556.13
California,2015,8,2556.13
California,2015,9,2556.13
California,2015,10,2559.21
California,2015,11,2559.21
California,2015,12,2559.21
California,2016,1,2599.89
California,2016,2,2599.89
California,2016,3,2599.89
California,2016,4,2600.61
California,2016,5,2600.61
California,2016,6,2600.61
California,2016,7,2639.39
California,2016,8,2639.39
California,2016,9,2639.39
California,2016,10,2654.95
California,2016,11,2654.95
California,2016,12,2654.95
California,2017,1,2681.0
California,2017,2,2681.0
California,2017,3,2681.0
California,2017,4,2717.7
California,2017,5,2717.7
California,2017,6,2717.7
California,2017,7,2759.62
California,2017,8,2759.62
California,2017,9,2759.62
California,2017,10,2803.88
California,2017,11,2803.88
California,2017,12,2803.88
California,2018,1,2809.42
California,2018,2,2809.42
California,2018,3,2809.42
California,2018,4,2838.19
California,2018,5,2838.19
California,2018,6,2838.19
California,2018,7,2869.6
California,2018,8,2869.6
California,2018,9,2869.6
California,2018,10,2886.67
California,2018,11,2886.67
California,2018,12,2886.67
California,2019,1,2909.83
California,2019,2,2909.83
California,2019,3,2909.83
California,2019,4,2954.17
California,2019,5,2954.17
California,2019,6,2954.17
California,2019,7,2989.76
California,2019,8,2989.76
California,2019,9,2989.76
California,2019,10,3024.68
California,2019,11,3024.68
California,2019,12,3024.68
California,2020,1,2983.73
California,2020,2,2983.73
California,2020,3,2983.73
California,2020,4,2749.44
California,2020,5,2749.44
California,2020,6,2749.44
California,2020,7,2971.51
California,2020,8,2971.51
California,2020,9,2971.51
California,2020,10,3017.94
California,2020,11,3017.94
California,2020,12,3017.94
California,2021,1,3082.95
California,2021,2,3082.95
California,2021,3,3082.95
California,2021,4,3133.34
California,2021,5,3133.34
California,2021,6,3133.34
California,2021,7,3170.47
California,2021,8,3170.47
California,2021,9,3170.47
California,2021,10,3217.7
California,2021,11,3217.7
California,2021,12,3217.7
California,2022,1,3162.42
California,2022,2,3162.42
California,2022,3,3162.42
California,2022,4,3146.32
California,2022,5,3146.32
California,2022,6,3146.32
California,2022,7,3145.01
California,2022,8,3145.01
California,2022,9,3145.01
California,2022,10,3135.1
California,2022,11,3135.1
California,2022,12,3135.1
California,2023,1,3152.23
California,2023,2,3152.23
California,2023,3,3152.23
California,2023,4,3191.51
California,2023,5,3191.51
California,2023,6,3191.51
California,2023,7,3223.88
California,2023,8,3223.88
California,2023,9,3223.88
California,2023,10,3248.45
California,2023,11,3248.45
California,2023,12,3248.45
California,2024,1,3277.17
California,2024,2,3277.17
California,2024,3,3277.17
California,2024,4,3287.04
California,2024,5,3287.04
California,2024,6,3287.04
California,2024,7,3321.64
California,2024,8,3321.64
California,2024,9,3321.64
California,2024,10,3341.86
California,2024,11,3341.86
California,2024,12,3341.86
Colorado,2015,1,327.14
Colorado,2015,2,327.14
Colorado,2015,3,327.14
Colorado,2015,4,329.5
Colorado,2015,5,329.5
Colorado,2015,6,329.5
Colorado,2015,7,331.57
Colorado,2015,8,331.57
Colorado,2015,9,331.57
Colorado,2015,10,333.9
Colorado,2015,11,333.9
Colorado,2015,12,333.9
Colorado,2016,1,332.47
Colorado,2016,2,332.47
Colorado,2016,3,332.47
Colorado,2016,4,334.07
Colorado,2016,5,334.07
Colorado,2016,6,334.07
Colorado,2016,7,339.82
Colorado,2016,8,339.82
Colorado,2016,9,339.82
Colorado,2016,10,344.37
Colorado,2016,11,344.37
Colorado,2016,12,344.37
Colorado,2017,1,345.07
Colorado,2017,2,345.07
Colorado,2017,3,345.07
Colorado,2017,4,346.38
Colorado,2017,5,346.38
Colorado,2017,6,346.38
Colorado,2017,7,351.9
Colorado,2017,8,351.9
Colorado,2017,9,351.9
Colorado,2017,10,357.49
Colorado,2017,11,357.49
Colorado,2017,12,357.49
Colorado,2018,1,365.1
Colorado,2018,2,365.1
Colorado,2018,3,365.1
Colorado,2018,4,363.91
Colorado,2018,5,363.91
Colorado,2018,6,363.91
Colorado,2018,7,364.23
Colorado,2018,8,364.23
Colorado,2018,9,364.23
Colorado,2018,10,367.57
Colorado,2018,11,367.57
Colorado,2018,12,367.57
Colorado,2019,1,374.32
Colorado,2019,2,374.32
Colorado,2019,3,374.32
Colorado,2019,4,380.8
Colorado,2019,5,380.8
Colorado,2019,6,380.8
Colorado,2019,7,389.69
Colorado,2019,8,389.69
Colorado,2019,9,389.69
Colorado,2019,10,390.1
Colorado,2019,11,390.1
Colorado,2019,12,390.1
Colorado,2020,1,389.28
Colorado,2020,2,389.28
Colorado,2020,3,389.28
Colorado,2020,4,359.9
Colorado,2020,5,359.9
Colorado,2020,6,359.9
