state,year,month,StringencyIndex
Alabama,2020,1,0.36
Alabama,2020,2,6.8
Alabama,2020,3,39.95
Alabama,2020,4,78.94
Alabama,2020,5,65.65
Alabama,2020,6,55.16
Alabama,2020,7,50.0
Alabama,2020,8,46.33
Alabama,2020,9,43.95
Alabama,2020,10,43.52
Alabama,2020,11,43.52
Alabama,2020,12,43.52
Alabama,2021,1,43.52
Alabama,2021,2,43.52
Alabama,2021,3,43.52
Alabama,2021,4,40.68
Alabama,2021,5,37.96
Alabama,2021,6,33.03
Alabama,2021,7,29.65
Alabama,2021,8,29.22
Alabama,2021,9,26.44
Alabama,2021,10,26.27
Alabama,2021,11,25.73
Alabama,2021,12,27.48
Alabama,2022,1,24.74
Alabama,2022,2,24.55
Alabama,2022,3,24.47
Alabama,2022,4,24.41
Alabama,2022,5,24.36
Alabama,2022,6,24.32
Alabama,2022,7,24.3
Alabama,2022,8,25.0
Alabama,2022,9,27.13
Alabama,2022,10,27.11
Alabama,2022,11,27.09
Alabama,2022,12,27.07
Alaska,2020,1,4.66
Alaska,2020,2,16.38
Alaska,2020,3,47.97
Alaska,2020,4,86.7
Alaska,2020,5,69.36
Alaska,2020,6,55.0
Alaska,2020,7,57.08
Alaska,2020,8,59.48
Alaska,2020,9,56.02
Alaska,2020,10,56.02
Alaska,2020,11,56.02
Alaska,2020,12,65.28
Alaska,2021,1,60.02
Alaska,2021,2,57.87
Alaska,2021,3,50.41
Alaska,2021,4,46.76
Alaska,2021,5,40.75
Alaska,2021,6,36.0
Alaska,2021,7,34.21
Alaska,2021,8,35.21
Alaska,2021,9,35.04
Alaska,2021,10,34.84
Alaska,2021,11,33.19
Alaska,2021,12,33.54
Alaska,2022,1,30.19
Alaska,2022,2,23.67
Alaska,2022,3,19.34
Alaska,2022,4,19.17
Alaska,2022,5,19.1
Alaska,2022,6,19.07
Alaska,2022,7,19.05
Alaska,2022,8,19.91
Alaska,2022,9,22.49
Alaska,2022,10,22.42
Alaska,2022,11,22.39
Alaska,2022,12,22.37
Arizona,2020,1,1.43
Arizona,2020,2,11.97
Arizona,2020,3,34.91
Arizona,2020,4,66.3
Arizona,2020,5,63.59
Arizona,2020,6,54.88
Arizona,2020,7,58.33
Arizona,2020,8,63.92
Arizona,2020,9,59.26
Arizona,2020,10,53.1
Arizona,2020,11,52.59
Arizona,2020,12,56.33
Arizona,2021,1,60.63
Arizona,2021,2,61.11
Arizona,2021,3,51.81
Arizona,2021,4,34.49
Arizona,2021,5,29.63
Arizona,2021,6,28.12
Arizona,2021,7,26.45
Arizona,2021,8,24.93
Arizona,2021,9,22.23
Arizona,2021,10,22.1
Arizona,2021,11,21.08
Arizona,2021,12,23.0
Arizona,2022,1,19.73
Arizona,2022,2,19.51
Arizona,2022,3,19.37
Arizona,2022,4,19.27
Arizona,2022,5,19.2
Arizona,2022,6,19.14
Arizona,2022,7,19.09
Arizona,2022,8,19.94
Arizona,2022,9,22.51
Arizona,2022,10,22.48
