State,Year,Month,Ridership_UPT,PostCOVID
AK,2002,1,261493.0,0
AK,2002,2,258630.0,0
AK,2002,3,269448.0,0
AK,2002,4,285148.0,0
AK,2002,5,272230.0,0
AK,2002,6,266463.0,0
AK,2002,7,252927.0,0
AK,2002,8,250742.0,0
AK,2002,9,239617.0,0
AK,2002,10,276769.0,0
AK,2002,11,238875.0,0
AK,2002,12,238138.0,0
AK,2003,1,306549.0,0
AK,2003,2,307143.0,0
AK,2003,3,327367.0,0
AK,2003,4,316175.0,0
AK,2003,5,295254.0,0
AK,2003,6,312810.0,0
AK,2003,7,306769.0,0
AK,2003,8,302042.0,0
AK,2003,9,308905.0,0
AK,2003,10,337803.0,0
AK,2003,11,277113.0,0
AK,2003,12,308710.0,0
AK,2004,1,309886.0,0
AK,2004,2,327387.0,0
AK,2004,3,367412.0,0
AK,2004,4,334001.0,0
AK,2004,5,307424.0,0
AK,2004,6,351385.0,0
AK,2004,7,316132.0,0
AK,2004,8,327774.0,0
AK,2004,9,310397.0,0
AK,2004,10,327991.0,0
AK,2004,11,320367.0,0
AK,2004,12,318483.0,0
AK,2005,1,346420.0,0
AK,2005,2,356461.0,0
AK,2005,3,412904.0,0
AK,2005,4,377273.0,0
AK,2005,5,356196.0,0
AK,2005,6,374742.0,0
AK,2005,7,357156.0,0
AK,2005,8,390310.0,0
AK,2005,9,371777.0,0
AK,2005,10,351125.0,0
AK,2005,11,336379.0,0
AK,2005,12,342738.0,0
AK,2006,1,334687.0,0
AK,2006,2,339299.0,0
AK,2006,3,406365.0,0
AK,2006,4,360415.0,0
AK,2006,5,369640.0,0
AK,2006,6,372089.0,0
AK,2006,7,353613.0,0
AK,2006,8,372840.0,0
AK,2006,9,350281.0,0
AK,2006,10,371637.0,0
AK,2006,11,328158.0,0
AK,2006,12,317892.0,0
AK,2007,1,334181.0,0
AK,2007,2,333298.0,0
AK,2007,3,368404.0,0
AK,2007,4,365258.0,0
AK,2007,5,356529.0,0
AK,2007,6,376219.0,0
AK,2007,7,358208.0,0
AK,2007,8,388264.0,0
AK,2007,9,342726.0,0
AK,2007,10,391968.0,0
AK,2007,11,346968.0,0
AK,2007,12,317038.0,0
AK,2008,1,337902.0,0
AK,2008,2,339910.0,0
AK,2008,3,365389.0,0
AK,2008,4,383432.0,0
AK,2008,5,378583.0,0
AK,2008,6,417848.0,0
AK,2008,7,413070.0,0
AK,2008,8,412106.0,0
AK,2008,9,397333.0,0
AK,2008,10,409175.0,0
AK,2008,11,338979.0,0
AK,2008,12,344416.0,0
AK,2009,1,337346.0,0
AK,2009,2,345445.0,0
AK,2009,3,401675.0,0
AK,2009,4,404350.0,0
AK,2009,5,372335.0,0
AK,2009,6,406124.0,0
AK,2009,7,398479.0,0
AK,2009,8,391698.0,0
AK,2009,9,389827.0,0
AK,2009,10,410367.0,0
AK,2009,11,325528.0,0
AK,2009,12,357510.0,0
AK,2010,1,362010.0,0
AK,2010,2,374222.0,0
AK,2010,3,421308.0,0
AK,2010,4,402965.0,0
AK,2010,5,368051.0,0
AK,2010,6,398190.0,0
AK,2010,7,378603.0,0
AK,2010,8,393426.0,0
AK,2010,9,377806.0,0
AK,2010,10,384766.0,0
AK,2010,11,337058.0,0
AK,2010,12,330537.0,0
AK,2011,1,346213.0,0
AK,2011,2,349505.0,0
AK,2011,3,415414.0,0
AK,2011,4,401006.0,0
AK,2011,5,378030.0,0
AK,2011,6,399024.0,0
AK,2011,7,367333.0,0
AK,2011,8,402186.0,0
AK,2011,9,394144.0,0
AK,2011,10,398942.0,0
AK,2011,11,350899.0,0
AK,2011,12,353423.0,0
AK,2012,1,356119.0,0
AK,2012,2,396145.0,0
AK,2012,3,425191.0,0
AK,2012,4,414342.0,0
AK,2012,5,397979.0,0
AK,2012,6,387584.0,0
AK,2012,7,357668.0,0
AK,2012,8,386953.0,0
AK,2012,9,343876.0,0
AK,2012,10,405240.0,0
AK,2012,11,348519.0,0
AK,2012,12,324155.0,0
AK,2013,1,328646.0,0
AK,2013,2,333759.0,0
AK,2013,3,359137.0,0
AK,2013,4,357684.0,0
AK,2013,5,340120.0,0
AK,2013,6,325264.0,0
AK,2013,7,331514.0,0
AK,2013,8,339034.0,0
AK,2013,9,325442.0,0
AK,2013,10,352117.0,0
AK,2013,11,298511.0,0
AK,2013,12,295649.0,0
AK,2014,1,362126.0,0
AK,2014,2,305543.0,0
AK,2014,3,336729.0,0
AK,2014,4,348748.0,0
AK,2014,5,318567.0,0
AK,2014,6,313073.0,0
AK,2014,7,322822.0,0
AK,2014,8,328616.0,0
AK,2014,9,323823.0,0
AK,2014,10,347296.0,0
AK,2014,11,286407.0,0
AK,2014,12,302928.0,0
AK,2015,1,299095.0,0
AK,2015,2,302253.0,0
AK,2015,3,334003.0,0
AK,2015,4,329241.0,0
AK,2015,5,298442.0,0
AK,2015,6,308395.0,0
AK,2015,7,305776.0,0
AK,2015,8,308627.0,0
AK,2015,9,299776.0,0
AK,2015,10,319131.0,0
AK,2015,11,267702.0,0
AK,2015,12,277257.0,0
AK,2016,1,280328.0,0
AK,2016,2,293714.0,0
AK,2016,3,318410.0,0
AK,2016,4,303467.0,0
AK,2016,5,285652.0,0
AK,2016,6,291313.0,0
AK,2016,7,269776.0,0
AK,2016,8,302640.0,0
AK,2016,9,283804.0,0
AK,2016,10,294136.0,0
AK,2016,11,266849.0,0
AK,2016,12,260172.0,0
AK,2017,1,253601.0,0
