state,year,month,red,blue
Alabama,2016,1,1,0
Alabama,2016,2,1,0
Alabama,2016,3,1,0
Alabama,2016,4,1,0
Alabama,2016,5,1,0
Alabama,2016,6,1,0
Alabama,2016,7,1,0
Alabama,2016,8,1,0
Alabama,2016,9,1,0
Alabama,2016,10,1,0
Alabama,2016,11,1,0
Alabama,2016,12,1,0
Alaska,2016,1,1,0
Alaska,2016,2,1,0
Alaska,2016,3,1,0
Alaska,2016,4,1,0
Alaska,2016,5,1,0
Alaska,2016,6,1,0
Alaska,2016,7,1,0
Alaska,2016,8,1,0
Alaska,2016,9,1,0
Alaska,2016,10,1,0
Alaska,2016,11,1,0
Alaska,2016,12,1,0
Arizona,2016,1,1,0
Arizona,2016,2,1,0
Arizona,2016,3,1,0
Arizona,2016,4,1,0
Arizona,2016,5,1,0
Arizona,2016,6,1,0
Arizona,2016,7,1,0
Arizona,2016,8,1,0
Arizona,2016,9,1,0
Arizona,2016,10,1,0
Arizona,2016,11,1,0
Arizona,2016,12,1,0
Arkansas,2016,1,1,0
Arkansas,2016,2,1,0
Arkansas,2016,3,1,0
Arkansas,2016,4,1,0
Arkansas,2016,5,1,0
Arkansas,2016,6,1,0
Arkansas,2016,7,1,0
Arkansas,2016,8,1,0
Arkansas,2016,9,1,0
Arkansas,2016,10,1,0
Arkansas,2016,11,1,0
Arkansas,2016,12,1,0
California,2016,1,0,1
California,2016,2,0,1
California,2016,3,0,1
California,2016,4,0,1
California,2016,5,0,1
California,2016,6,0,1
California,2016,7,0,1
California,2016,8,0,1
California,2016,9,0,1
California,2016,10,0,1
California,2016,11,0,1
California,2016,12,0,1
Colorado,2016,1,0,1
Colorado,2016,2,0,1
Colorado,2016,3,0,1
Colorado,2016,4,0,1
Colorado,2016,5,0,1
Colorado,2016,6,0,1
Colorado,2016,7,0,1
Colorado,2016,8,0,1
Colorado,2016,9,0,1
Colorado,2016,10,0,1
Colorado,2016,11,0,1
Colorado,2016,12,0,1
Connecticut,2016,1,0,1
Connecticut,2016,2,0,1
Connecticut,2016,3,0,1
Connecticut,2016,4,0,1
Connecticut,2016,5,0,1
Connecticut,2016,6,0,1
Connecticut,2016,7,0,1
Connecticut,2016,8,0,1
Connecticut,2016,9,0,1
Connecticut,2016,10,0,1
Connecticut,2016,11,0,1
Connecticut,2016,12,0,1
Delaware,2016,1,0,1
Delaware,2016,2,0,1
Delaware,2016,3,0,1
Delaware,2016,4,0,1
Delaware,2016,5,0,1
Delaware,2016,6,0,1
Delaware,2016,7,0,1
Delaware,2016,8,0,1
Delaware,2016,9,0,1
Delaware,2016,10,0,1
Delaware,2016,11,0,1
Delaware,2016,12,0,1
Florida,2016,1,1,0
Florida,2016,2,1,0
Florida,2016,3,1,0
Florida,2016,4,1,0
Florida,2016,5,1,0
Florida,2016,6,1,0
Florida,2016,7,1,0
Florida,2016,8,1,0
Florida,2016,9,1,0
Florida,2016,10,1,0
Florida,2016,11,1,0
Florida,2016,12,1,0
Georgia,2016,1,1,0
Georgia,2016,2,1,0
Georgia,2016,3,1,0
Georgia,2016,4,1,0
Georgia,2016,5,1,0
Georgia,2016,6,1,0
Georgia,2016,7,1,0
Georgia,2016,8,1,0
Georgia,2016,9,1,0
Georgia,2016,10,1,0
Georgia,2016,11,1,0
Georgia,2016,12,1,0
Hawaii,2016,1,0,1
Hawaii,2016,2,0,1
Hawaii,2016,3,0,1
Hawaii,2016,4,0,1
Hawaii,2016,5,0,1
Hawaii,2016,6,0,1
Hawaii,2016,7,0,1
Hawaii,2016,8,0,1
Hawaii,2016,9,0,1
Hawaii,2016,10,0,1
Hawaii,2016,11,0,1
Hawaii,2016,12,0,1
Illinois,2016,1,0,1
Illinois,2016,2,0,1
Illinois,2016,3,0,1
Illinois,2016,4,0,1
Illinois,2016,5,0,1
Illinois,2016,6,0,1
Illinois,2016,7,0,1
Illinois,2016,8,0,1
Illinois,2016,9,0,1
Illinois,2016,10,0,1
Illinois,2016,11,0,1
Illinois,2016,12,0,1
Indiana,2016,1,1,0
Indiana,2016,2,1,0
Indiana,2016,3,1,0
Indiana,2016,4,1,0
Indiana,2016,5,1,0
Indiana,2016,6,1,0
Indiana,2016,7,1,0
Indiana,2016,8,1,0
Indiana,2016,9,1,0
Indiana,2016,10,1,0
Indiana,2016,11,1,0
Indiana,2016,12,1,0
Iowa,2016,1,1,0
Iowa,2016,2,1,0
Iowa,2016,3,1,0
Iowa,2016,4,1,0
Iowa,2016,5,1,0
Iowa,2016,6,1,0
Iowa,2016,7,1,0
Iowa,2016,8,1,0
Iowa,2016,9,1,0
Iowa,2016,10,1,0
Iowa,2016,11,1,0
Iowa,2016,12,1,0
Kansas,2016,1,1,0
Kansas,2016,2,1,0
Kansas,2016,3,1,0
Kansas,2016,4,1,0
Kansas,2016,5,1,0
Kansas,2016,6,1,0
Kansas,2016,7,1,0
Kansas,2016,8,1,0
Kansas,2016,9,1,0
Kansas,2016,10,1,0
Kansas,2016,11,1,0
Kansas,2016,12,1,0
Kentucky,2016,1,1,0
Kentucky,2016,2,1,0
Kentucky,2016,3,1,0
Kentucky,2016,4,1,0
Kentucky,2016,5,1,0
Kentucky,2016,6,1,0
Kentucky,2016,7,1,0
Kentucky,2016,8,1,0
Kentucky,2016,9,1,0
Kentucky,2016,10,1,0
Kentucky,2016,11,1,0
Kentucky,2016,12,1,0
Louisiana,2016,1,1,0
Louisiana,2016,2,1,0
Louisiana,2016,3,1,0
Louisiana,2016,4,1,0
Louisiana,2016,5,1,0
Louisiana,2016,6,1,0
Louisiana,2016,7,1,0
Louisiana,2016,8,1,0
Louisiana,2016,9,1,0
Louisiana,2016,10,1,0
Louisiana,2016,11,1,0
Louisiana,2016,12,1,0
Maine,2016,1,0,1
Maine,2016,2,0,1
Maine,2016,3,0,1
Maine,2016,4,0,1
Maine,2016,5,0,1
Maine,2016,6,0,1
Maine,2016,7,0,1
Maine,2016,8,0,1
Maine,2016,9,0,1
Maine,2016,10,0,1
Maine,2016,11,0,1
Maine,2016,12,0,1
Maryland,2016,1,0,1
Maryland,2016,2,0,1
Maryland,2016,3,0,1
Maryland,2016,4,0,1
Maryland,2016,5,0,1
Maryland,2016,6,0,1
Maryland,2016,7,0,1
Maryland,2016,8,0,1
Maryland,2016,9,0,1
Maryland,2016,10,0,1
Maryland,2016,11,0,1
Maryland,2016,12,0,1
Massachusetts,2016,1,0,1
Massachusetts,2016,2,0,1
Massachusetts,2016,3,0,1
