state,year,month,unemployment_rate
Alabama,2016,1,6.3
Alabama,2016,2,6.2
Alabama,2016,3,5.9
Alabama,2016,4,5.4
Alabama,2016,5,5.3
Alabama,2016,6,6.1
Alabama,2016,7,6.0
Alabama,2016,8,5.9
Alabama,2016,9,5.9
Alabama,2016,10,5.7
Alabama,2016,11,5.3
Alabama,2016,12,5.4
Alabama,2017,1,6.0
Alabama,2017,2,5.6
Alabama,2017,3,4.9
Alabama,2017,4,4.3
Alabama,2017,5,4.2
Alabama,2017,6,4.8
Alabama,2017,7,4.7
Alabama,2017,8,4.5
Alabama,2017,9,4.0
Alabama,2017,10,3.8
Alabama,2017,11,3.8
Alabama,2017,12,3.7
Alabama,2018,1,4.4
Alabama,2018,2,4.3
Alabama,2018,3,4.0
Alabama,2018,4,3.5
Alabama,2018,5,3.5
Alabama,2018,6,4.5
Alabama,2018,7,4.2
Alabama,2018,8,4.1
Alabama,2018,9,3.7
Alabama,2018,10,3.7
Alabama,2018,11,3.4
Alabama,2018,12,3.6
Alabama,2019,1,4.3
Alabama,2019,2,3.8
Alabama,2019,3,3.5
Alabama,2019,4,2.8
Alabama,2019,5,2.7
Alabama,2019,6,3.4
Alabama,2019,7,3.3
Alabama,2019,8,3.3
Alabama,2019,9,2.8
Alabama,2019,10,2.8
Alabama,2019,11,2.8
Alabama,2019,12,2.9
Alabama,2020,1,3.6
Alabama,2020,2,3.4
Alabama,2020,3,3.7
Alabama,2020,4,13.1
Alabama,2020,5,10.2
Alabama,2020,6,8.9
Alabama,2020,7,8.0
Alabama,2020,8,6.4
Alabama,2020,9,6.0
Alabama,2020,10,4.9
Alabama,2020,11,4.6
Alabama,2020,12,4.3
Alabama,2021,1,4.5
Alabama,2021,2,4.1
Alabama,2021,3,3.7
Alabama,2021,4,3.3
Alabama,2021,5,3.1
Alabama,2021,6,4.0
Alabama,2021,7,3.7
Alabama,2021,8,3.5
Alabama,2021,9,2.9
Alabama,2021,10,2.7
Alabama,2021,11,2.4
Alabama,2021,12,2.3
Alabama,2022,1,3.1
Alabama,2022,2,2.9
Alabama,2022,3,2.4
Alabama,2022,4,2.0
Alabama,2022,5,2.2
Alabama,2022,6,3.0
Alabama,2022,7,2.9
Alabama,2022,8,2.9
Alabama,2022,9,2.4
Alabama,2022,10,2.4
Alabama,2022,11,2.2
Alabama,2022,12,2.0
Alabama,2023,1,2.6
Alabama,2023,2,2.5
Alabama,2023,3,2.2
Alabama,2023,4,1.8
Alabama,2023,5,2.0
Alabama,2023,6,2.7
Alabama,2023,7,2.6
Alabama,2023,8,2.8
Alabama,2023,9,2.6
Alabama,2023,10,2.6
Alabama,2023,11,2.5
Alabama,2023,12,2.6
Alabama,2024,1,3.2
Alabama,2024,2,3.2
Alabama,2024,3,2.8
Alabama,2024,4,2.4
Alabama,2024,5,2.4
Alabama,2024,6,3.3
Alabama,2024,7,3.4
Alabama,2024,8,3.5
Alabama,2024,9,3.1
Alabama,2024,10,3.2
Alabama,2024,11,3.3
Alabama,2024,12,3.2
Alabama,2025,1,3.4
Alabama,2025,2,3.4
Alabama,2025,3,3.4
Alabama,2025,4,2.7
Alabama,2025,5,2.8
Alabama,2025,6,3.0
Alabama,2025,7,2.9
Alabama,2025,8,2.7
Alabama,2025,9,2.9
Alabama,2025,10,2.8
Alabama,2025,11,2.7
Alabama,2025,12,2.3
Alaska,2016,1,7.1
Alaska,2016,2,7.4
Alaska,2016,3,7.2
Alaska,2016,4,6.9
Alaska,2016,5,6.4
Alaska,2016,6,6.7
Alaska,2016,7,6.1
Alaska,2016,8,5.7
Alaska,2016,9,6.2
Alaska,2016,10,6.3
Alaska,2016,11,6.6
Alaska,2016,12,6.8
Alaska,2017,1,7.6
Alaska,2017,2,7.5
Alaska,2017,3,7.2
Alaska,2017,4,6.8
Alaska,2017,5,6.4
Alaska,2017,6,6.6
Alaska,2017,7,6.1
Alaska,2017,8,5.9
Alaska,2017,9,5.9
Alaska,2017,10,6.0
Alaska,2017,11,6.5
Alaska,2017,12,6.8
Alaska,2018,1,7.4
Alaska,2018,2,7.3
Alaska,2018,3,6.8
Alaska,2018,4,6.5
Alaska,2018,5,5.8
Alaska,2018,6,6.2
Alaska,2018,7,5.3
Alaska,2018,8,5.0
Alaska,2018,9,5.1
Alaska,2018,10,5.4
Alaska,2018,11,5.9
Alaska,2018,12,6.3
Alaska,2019,1,7.2
Alaska,2019,2,6.7
Alaska,2019,3,6.5
Alaska,2019,4,5.7
Alaska,2019,5,5.5
Alaska,2019,6,5.7
Alaska,2019,7,5.2
Alaska,2019,8,4.8
Alaska,2019,9,4.7
Alaska,2019,10,4.8
Alaska,2019,11,5.3
Alaska,2019,12,5.4
Alaska,2020,1,5.9
Alaska,2020,2,5.6
Alaska,2020,3,6.9
Alaska,2020,4,11.8
Alaska,2020,5,12.0
Alaska,2020,6,11.2
Alaska,2020,7,10.4
Alaska,2020,8,7.2
Alaska,2020,9,7.3
Alaska,2020,10,6.7
Alaska,2020,11,7.2
Alaska,2020,12,7.2
Alaska,2021,1,7.5
Alaska,2021,2,7.8
Alaska,2021,3,7.7
Alaska,2021,4,7.5
Alaska,2021,5,6.8
Alaska,2021,6,7.0
Alaska,2021,7,5.9
Alaska,2021,8,5.1
Alaska,2021,9,5.2
Alaska,2021,10,5.2
Alaska,2021,11,5.4
Alaska,2021,12,5.3
Alaska,2022,1,6.1
Alaska,2022,2,5.7
Alaska,2022,3,5.0
Alaska,2022,4,4.5
Alaska,2022,5,4.1
Alaska,2022,6,4.3
Alaska,2022,7,3.6
Alaska,2022,8,3.0
Alaska,2022,9,3.2
Alaska,2022,10,3.6
Alaska,2022,11,4.1
Alaska,2022,12,4.0
Alaska,2023,1,4.7
Alaska,2023,2,4.8
Alaska,2023,3,4.4
Alaska,2023,4,4.0
Alaska,2023,5,4.0
Alaska,2023,6,4.4
Alaska,2023,7,3.7
Alaska,2023,8,3.7
Alaska,2023,9,3.9
Alaska,2023,10,4.1
Alaska,2023,11,4.4
Alaska,2023,12,4.6
Alaska,2024,1,5.1
Alaska,2024,2,5.3
Alaska,2024,3,4.8
Alaska,2024,4,4.5
Alaska,2024,5,4.3
Alaska,2024,6,4.9
Alaska,2024,7,4.4
Alaska,2024,8,4.1
Alaska,2024,9,4.0
Alaska,2024,10,4.4
Alaska,2024,11,4.9
Alaska,2024,12,4.7
Alaska,2025,1,5.4
Alaska,2025,2,5.4
Alaska,2025,3,4.9
Alaska,2025,4,4.7
Alaska,2025,5,4.5
Alaska,2025,6,5.1
Alaska,2025,7,4.5
Alaska,2025,8,3.9
Alaska,2025,9,4.3
Alaska,2025,10,4.65
Alaska,2025,11,5.0
Alaska,2025,12,5.0
Arizona,2016,1,5.6
Arizona,2016,2,5.4
Arizona,2016,3,5.3
Arizona,2016,4,5.4
Arizona,2016,5,5.3
Arizona,2016,6,5.9
Arizona,2016,7,6.0
Arizona,2016,8,5.8
Arizona,2016,9,5.6
Arizona,2016,10,5.4
Arizona,2016,11,5.0
Arizona,2016,12,5.0
Arizona,2017,1,5.3
Arizona,2017,2,5.1
Arizona,2017,3,4.8
Arizona,2017,4,4.7
Arizona,2017,5,4.8
Arizona,2017,6,5.3
Arizona,2017,7,5.4
Arizona,2017,8,5.3
Arizona,2017,9,4.9
Arizona,2017,10,4.6
Arizona,2017,11,4.6
Arizona,2017,12,4.6
Arizona,2018,1,5.0
Arizona,2018,2,4.8
Arizona,2018,3,4.5
Arizona,2018,4,4.5
Arizona,2018,5,4.4
Arizona,2018,6,5.2
Arizona,2018,7,5.2
Arizona,2018,8,5.1
Arizona,2018,9,4.8
Arizona,2018,10,4.7
Arizona,2018,11,4.6
Arizona,2018,12,4.9
Arizona,2019,1,5.3
Arizona,2019,2,4.8
Arizona,2019,3,4.7
Arizona,2019,4,4.5
Arizona,2019,5,4.7
Arizona,2019,6,5.2
Arizona,2019,7,5.4
Arizona,2019,8,5.1
Arizona,2019,9,4.6
Arizona,2019,10,4.6
Arizona,2019,11,4.4
Arizona,2019,12,4.3
Arizona,2020,1,4.7
Arizona,2020,2,4.5
Arizona,2020,3,5.3
Arizona,2020,4,13.2
Arizona,2020,5,11.2
Arizona,2020,6,10.2
Arizona,2020,7,9.9
Arizona,2020,8,8.1
Arizona,2020,9,7.5
Arizona,2020,10,6.6
Arizona,2020,11,6.3
Arizona,2020,12,6.3
Arizona,2021,1,6.4
Arizona,2021,2,6.2
Arizona,2021,3,5.7
Arizona,2021,4,5.6
Arizona,2021,5,5.5
Arizona,2021,6,6.0
Arizona,2021,7,5.4
Arizona,2021,8,4.9
Arizona,2021,9,4.3
Arizona,2021,10,3.8
Arizona,2021,11,3.4
Arizona,2021,12,3.1
Arizona,2022,1,3.8
Arizona,2022,2,3.6
Arizona,2022,3,3.3
